compound,encapsulation_mean
HEaSC00462,0.490333
HEaSC00464,0.618867
HEaSC00465,0.781267
HEaSC00467,0.301933
HEaSC00469,0.1376
HEaSC00470,0.159267
HEaSC00471,0.5036
HEaSC00472,0.1636
HEaSC00473,0.497333
HEaSC00475,0.187467
HEaSC00483,0.7104
HEaSC00484,0.239267
HEaSC00485,0.258333
HEaSC00488,0.222733
HEaSC00489,0.709267
HEaSC00490,0.704467
HEaSC00491,0.239067
HEaSC00495,0.556467
HEaSC00496,0.713533
HEaSC00497,0.4464
HEaSC00498,0.756667
HEaSC00500,0.815667
HEaSC00502,0.106733
HEaSC00503,0.124467
HEaSC00504,0.148867
HEaSC00505,0.664533
HEaSC00506,
HEaSC00514,0.283933
HEaSC00515,0.0993333
HEaSC00517,0.4932
HEaSC00524,0.168867
HEaSC00525,0.3208
HEaSC00526,0.500267
HEaSC00527,0.763133
HEaSC00528,0.284333
HEaSC00529,0.2798
HEaSC00530,0.2132
HEaSC00531,0.211
HEaSC00532,0.355267
HEaSC00533,0.5088
HEaSC00535,0.187867
HEaSC00536,0.0764667
HEaSC00538,0.137467
HEaSC00542,0.63
HEaSC00544,0.8038
HEaSC00547,0.902533
HEaSC00548,0.824467
HEaSC00549,0.756067
HEaSC00550,0.601067
HEaSC00551,0.470867
HEaSC00556,0.826733
HEaSC00566,0.436667
HEaSC00567,0.568067
HEaSC00568,0.565867
HEaSC00569,0.436333
HEaSC00570,0.556133
HEaSC00571,0.692133
HEaSC00573,0.668533
HEaSC00574,0.290067
HEaSC00575,0.621
HEaSC00576,0.0965333
HEaSC00579,0.0735333
HEaSC00581,0.0842
HEaSC00583,0.108733
HEaSC00589,0.0763333
HEaSC00590,0.6182
HEaSC00591,0.606133
HEaSC00592,0.144
HEaSC00593,0.359533
HEaSC00594,0.375533
HEaSC00595,0.2536
HEaSC00596,0.290133
HEaSC00597,0.2294
HEaSC00600,0.247067
HEaSC00603,0.208467
HEaSC00604,0.910533
HEaSC00605,0.412667
HEaSC00606,0.8082
HEaSC00057,0.0341333
HEaSC00058,0.357067
HEaSC00059,0.239
HEaSC00061,0.212667
HEaSC00063,0.347733
HEaSC00064,0.0350667
HEaSC00067,0.512933
HEaSC00068,0.0213333
HEaSC00070,0.0249333
HEaSC00072,0.0224667
HEaSC00074,0.1132
HEaSC00078,0.0333333
HEaSC00080,0.371933
HEaSC00081,0.881733
HEaSC00082,0.960333
HEaSC00083,0.6408
HEaSC00084,0.8962
HEaSC00085,0.969333
HEaSC00086,0.898867
HEaSC00087,0.0925333
HEaSC00089,0.934933
HEaSC00091,0.625133
HEaSC00092,0.402867
HEaSC00093,0.4322
HEaSC00094,0.967333
HEaSC00095,0.223533
HEaSC00096,0.319067
HEaSC00097,0.274667
HEaSC00098,0.798133
HEaSC00099,0.728467
HEaSC00100,0.2968
HEaSC00101,0.435467
HEaSC00102,0.951133
HEaSC00103,0.2572
HEaSC00104,0.2034
HEaSC00106,0.403533
HEaSC00107,0.278267
HEaSC00109,0.894867
HEaSC00112,0.303533
HEaSC00113,0.410467
HEaSC00114,0.4168
HEaSC00115,0.829667
HEaSC00116,0.3002
HEaSC00118,0.262
HEaSC00119,0.1502
HEaSC00120,0.1558
HEaSC00121,0.236933
HEaSC00122,0.255333
HEaSC00126,0.208467
HEaSC00128,0.602267
HEaSC00130,0.657533
HEaSC00131,0.357133
HEaSC00132,0.4044
HEaSC00134,0.2706
HEaSC00136,0.200467
HEaSC00138,0.893867
HEaSC00139,0.0594
HEaSC00146,0.0818667
HEaSC00147,0.0492667
HEaSC00148,0.0756667
HEaSC00150,0.0574
HEaSC00151,0.454933
HEaSC00152,0.281933
HEaSC00153,0.328
HEaSC00154,0.214333
HEaSC00156,0.196267
HEaSC00157,0.605867
HEaSC00158,0.281267
HEaSC00159,0.0431333
HEaSC00160,0.05
HEaSC00161,0.0220667
HEaSC00162,0.0404667
HEaSC00164,0.0303333
HEaSC00165,0.3286
HEaSC00167,0.0903333
HEaSC00174,0.0233333
HEaSC00175,0.0285333
HEaSC00176,0.0658667
HEaSC00179,0.109733
HEaSC00181,0.116333
HEaSC00183,0.0341333
HEaSC00184,0.0332667
HEaSC00185,0.0428
HEaSC00186,0.779867
HEaSC00187,0.0460667
HEaSC00188,0.0428
HEaSC00189,0.0579333
HEaSC00190,0.0710667
HEaSC00191,0.218667
HEaSC00193,0.0506667
HEaSC00196,0.945267
HEaSC00202,0.479733
HEaSC00203,0.989667
HEaSC00206,0.3028
HEaSC00207,0.775
HEaSC00209,0.223267
HEaSC00211,0.4546
HEaSC00214,0.696267
HEaSC00216,0.447133
HEaSC00217,0.922533
HEaSC00218,0.765067
HEaSC00219,0.308067
HEaSC00220,0.538133
HEaSC00222,0.128133
HEaSC00228,0.269667
HEaSC00230,0.528733
HEaSC00231,0.112467
HEaSC00235,0.130267
HEaSC00240,0.3758
HEaSC00241,0.6486
HEaSC00242,0.9418
HEaSC00245,0.380333
HEaSC00249,0.304867
HEaSC00250,0.179733
HEaSC00251,0.474467
HEaSC00252,0.042
HEaSC00253,0.0585333
HEaSC00254,0.841467
HEaSC00255,0.544733
HEaSC00256,0.4108
HEaSC00257,0.328133
HEaSC00258,0.447
HEaSC00259,0.2664
HEaSC00260,0.471267
HEaSC00262,0.745133
HEaSC00263,0.690933
HEaSC00264,0.150267
HEaSC00265,0.307867
HEaSC00266,0.369933
HEaSC00271,0.1118
HEaSC00272,0.216933
HEaSC00273,0.210267
HEaSC00274,0.191267
HEaSC00281,0.344467
HEaSC00282,0.434933
HEaSC00284,0.918
HEaSC00286,0.7902
HEaSC00287,0.213
HEaSC00288,0.607533
HEaSC00289,0.235667
HEaSC00290,0.9582
HEaSC00294,0.211733
HEaSC00296,0.0616667
HEaSC00297,0.195933
HEaSC00298,0.0767333
HEaSC00299,0.0894667
HEaSC00301,0.4996
HEaSC00302,0.0714
HEaSC00303,0.266867
HEaSC00304,0.0384
HEaSC00305,0.261333
HEaSC00306,0.133733
HEaSC00307,0.9824
HEaSC00308,
HEaSC00309,0.461467
HEaSC00311,0.759867
HEaSC00312,0.333533
HEaSC00313,0.505
HEaSC00314,0.496533
HEaSC00315,0.609533
2-methoxyAniline,0.96827
2-methyl-5-nitroAniline, 0.96527
Monolinuron,0.88573
Metobromuron,0.91107
8-Hydroxyquinoline-5-sulfonic_acid,0.89707
3-aminobezoic_acid,0.76953
Aminocarb,0.80987
Chlorbromuron,0.9338
Chlorotoluron,0.9642
Difenoxuron,0.99473
2-chloroAniline,0.9112
2-methoxy-5-nitroAniline,0.9788
Bromoxynil,0.98647
2_4-Dimethyl-N-phenyl-5-thiazolecarboxamide,0.99593
Bendiocarb,0.80027
Prothiocarb,0.42167
